state_key,state,no,constituency_name,reserved,y2021_winner_name,y2016_winner_name,y2026_winner_name,status,updated_at,y2021_winner_party,y2016_winner_party,y2026_winner_party
PUDUCHERRY,Puducherry,27,Karaikal South,GEN,A. M. H. Nazeem,K. A. U. Asana,,,2026-04-06T06:49:21Z,DMK,A. M. H. Nazeem,
PUDUCHERRY,Puducherry,28,Neravy T.R. Pattinam,GEN,M. Nagathiyagarajan,A. Geetha,,,2026-04-06T06:49:21Z,DMK,V. M. C. Sivakumar,
PUDUCHERRY,Puducherry,29,Mahe,GEN,Ramesh Parambath,Dr. V. Ramachandran,,,2026-04-06T06:49:21Z,INC,Party color cell Independent,
PUDUCHERRY,Puducherry,30,Yanam,GEN,Gollapalli Srinivas Ashok,Malladi Krishna Rao,,,2026-04-06T06:49:21Z,IND,INC,
TAMIL_NADU,Tamil Nadu,1,Gummidipoondi,GEN,T. J. Govindrajan,K. S. Vijayakumar,,,2026-04-06T06:49:21Z,DMK,AIADMK,
TAMIL_NADU,Tamil Nadu,2,Ponneri (SC),SC,Durai Chandrasekar,P. Balaraman,,,2026-04-06T06:49:21Z,INC,AIADMK,
TAMIL_NADU,Tamil Nadu,3,Tiruttani,GEN,S. Chandran,P. M. Narasimhan,,,2026-04-06T06:49:21Z,DMK,AIADMK,
TAMIL_NADU,Tamil Nadu,4,Thiruvallur,GEN,V. G. Raajendran,V. G. Raajendran,,,2026-04-06T06:49:21Z,DMK,DMK,
TAMIL_NADU,Tamil Nadu,5,Poonamallee (SC),SC,A. Krishnaswamy,T. A. Elumalai,,,2026-04-06T06:49:21Z,DMK,AIADMK,
TAMIL_NADU,Tamil Nadu,6,Avadi,GEN,S. M. Nasar,K. Pandiarajan,,,2026-04-06T06:49:21Z,DMK,AIADMK,
TAMIL_NADU,Tamil Nadu,7,Maduravoyal,GEN,K. Ganapathy,P. Benjamin,,,2026-04-06T06:49:21Z,DMK,AIADMK,
