"state_key","state","no","y2026_winner_name","status","updated_at","y2026_winner_party"
"TAMIL_NADU","Tamil Nadu","36","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","37","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","38","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","39","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","40","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","41","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","42","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","43","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","44","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","45","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","46","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","47","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","48","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","49","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","50","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","51","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","52","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","53","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","54","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","55","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","56","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","57","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","58","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","59","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","60","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","61","NA","","2026-04-06T06:49:21Z","NA"
